Date,Price,Open,High,Low,Change
10-Feb-17,1.2491,1.2499,1.2524,1.2439,-0.04%
9-Feb-17,1.2496,1.2542,1.2584,1.2489,-0.35%
8-Feb-17,1.254,1.2508,1.2551,1.2475,0.23%
7-Feb-17,1.2511,1.2465,1.2547,1.2346,0.33%
6-Feb-17,1.247,1.2492,1.251,1.2424,-0.14%
3-Feb-17,1.2488,1.2525,1.254,1.2459,-0.32%
2-Feb-17,1.2528,1.2664,1.2715,1.2522,-1.03%
1-Feb-17,1.2658,1.2586,1.2685,1.2548,0.63%
31-Jan-17,1.2579,1.2485,1.2598,1.2412,0.74%
30-Jan-17,1.2486,1.2552,1.2604,1.2466,-0.55%
27-Jan-17,1.2555,1.2599,1.2614,1.2523,-0.30%
26-Jan-17,1.2593,1.2638,1.2681,1.2562,-0.32%
25-Jan-17,1.2634,1.2525,1.2643,1.2492,0.90%
24-Jan-17,1.2521,1.2534,1.2546,1.2416,-0.12%
23-Jan-17,1.2536,1.2363,1.2546,1.2357,1.30%
20-Jan-17,1.2375,1.2342,1.2381,1.226,0.27%
19-Jan-17,1.2342,1.2257,1.2343,1.2251,0.68%
18-Jan-17,1.2259,1.2414,1.2417,1.2252,-1.25%
17-Jan-17,1.2414,1.2043,1.2416,1.2014,3.04%
16-Jan-17,1.2048,1.2064,1.209,1.1985,-1.07%
13-Jan-17,1.2178,1.2157,1.2235,1.2121,0.12%
12-Jan-17,1.2163,1.2208,1.2318,1.215,-0.40%
11-Jan-17,1.2212,1.2176,1.227,1.2037,0.29%
10-Jan-17,1.2177,1.2162,1.2191,1.2105,0.12%
9-Jan-17,1.2162,1.2268,1.2273,1.2124,-1.02%
6-Jan-17,1.2287,1.2424,1.2437,1.2264,-1.05%
5-Jan-17,1.2418,1.2326,1.2436,1.2272,0.78%
4-Jan-17,1.2322,1.2237,1.2356,1.2222,0.68%
3-Jan-17,1.2239,1.2274,1.2308,1.22,-0.29%
2-Jan-17,1.2275,1.2344,1.2355,1.2268,-0.51%
30-Dec-16,1.2338,1.2262,1.2389,1.2245,0.61%
